bowler,matches,legal_balls,runs_conceded,wickets,overs,economy
W O'Rourke,3,62,132,6,10.2,12.77
FH Edwards,6,140,154,5,23.2,6.6
PD Collingwood,6,89,101,5,14.5,6.81
KMDN Kulasekara,5,102,120,5,17.0,7.06
Gurkeerat Singh,6,78,97,5,13.0,7.46
Shoaib Akhtar,3,42,54,5,7.0,7.71
O Thomas,4,60,79,5,10.0,7.9
RV Gomez,9,96,129,5,16.0,8.06
SB Wagh,8,102,137,5,17.0,8.06
TM Dilshan,25,271,366,5,45.1,8.1
SR Dubey,4,77,106,5,12.5,8.26
A Choudhary,5,101,144,5,16.5,8.55
Shoaib Ahmed,7,102,152,5,17.0,8.94
HR Shokeen,13,204,314,5,34.0,9.24
Shashank Singh,8,90,140,5,15.0,9.33
M de Lange,5,108,169,5,18.0,9.39
KL Nagarkoti,11,180,285,5,30.0,9.5
S Ladda,9,138,224,5,23.0,9.74
AP Dole,3,66,112,5,11.0,10.18
R Shukla,7,120,208,5,20.0,10.4
RJW Topley,6,120,222,5,20.0,11.1
S Narwal,6,106,202,5,17.4,11.43
DJ Muthuswami,6,84,101,4,14.0,7.21
DP Vijaykumar,9,152,199,4,25.2,7.86
D du Preez,2,42,56,4,7.0,8.0
WA Mota,7,72,97,4,12.0,8.08
Parvez Rasool,11,198,271,4,33.0,8.21
S Dhawan,6,48,66,4,8.0,8.25
Shivam Sharma,5,114,165,4,19.0,8.68
SB Bangar,9,150,219,4,25.0,8.76
V Kohli,26,251,368,4,41.5,8.8
LE Plunkett,7,150,225,4,25.0,9.0
M Tiwari,4,66,101,4,11.0,9.18
A Badoni,8,41,63,4,6.5,9.22
Gurjapneet Singh,8,151,233,4,25.1,9.26
Arjun Tendulkar,6,97,150,4,16.1,9.28
B Muzarabani,2,42,75,4,7.0,10.71
Y Nagar,8,66,125,4,11.0,11.36
T Stubbs,5,36,69,4,6.0,11.5
MJ Henry,9,162,311,4,27.0,11.52
DJ Thornely,4,42,40,3,7.0,5.71
JW Hastings,3,58,66,3,9.4,6.83
SM Harwood,3,60,73,3,10.0,7.3
JM Kemp,5,44,54,3,7.2,7.36
AL Menaria,12,110,144,3,18.2,7.85
DAJ Bracewell,1,24,32,3,4.0,8.0
P Sahu,5,105,146,3,17.3,8.34
